Station Name,Device ID,Dev. Type,Installed,Latitude DMS,Longitude DMS,Elevation,Station Location
Old Paint Wash (NI),,,,33 48 22.4,111 48 23.1,2820,2.75 mi. NNW of 136th St. & Lone Mtn. Rd.
Middle Camp Creek (NI),,,,,,3725,
Camp Creek Overlook (NI),,,,,,2335,
Big Horn Rd. (NI),,,,33 40 01.0,113 12 12.6,1815,7 mi. NE of Salome Hwy. @ Eagle Eye Rd.
Trailhead 88 (NI),,,,33 29 09.4,111 28 00.4,2185,
New River @ Old Stage Rd.,,,,33 56 02.8,112 08 20.0,2085,1.3 mi. N of Old Black Can. Hwy. @ New River Rd.
Tat Momolikot Dam,773,Stream PT,1/19/2000,32 39 00.6,111 55 36.2,1530,19 miles SW of Casa Grande
Gila R. @ Maricopa Rd.,778,Stream PT,4/6/1995,33 10 14.7,112 00 21.6,1135,Gila River at Maricopa Road bridge
Gila R. @ Olberg,783,Non Subm PT,4/12/1995,33 05 13.4,111 41 13.2,1305,"Gila River at Olberg Bridge, 3 mi. ENE of Sacaton"
Santa Cruz R. @ SR 84,788,Stream PT,3/16/1994,32 52 46.3,111 49 44.2,1350,3 mi. West of SR 93 (Casa Grande) on SR 84
Greene Wash @ SR 84,793,Stream PT,3/23/1994,32 52 46.1,111 56 01.3,1310,10 mi. West of SR 93 (Casa Grande) on SR 84
Mt. Union,1000,Precip.,8/16/1982,34 24 54.3,112 24 16.9,7980,"Top of Mt. Union, 10 mi. SSE of Prescott"
Mt. Union,1001,Temperature,12/11/1987,34 24 54.3,112 24 16.9,7980,"Top of Mt. Union, 10 mi. SSE of Prescott"
Mt. Union,1002,Humidity,12/1/1994,34 24 54.3,112 24 16.9,7980,"Top of Mt. Union, 10 mi. SSE of Prescott"
Mt. Union,1008,Rptr. Batt.,4/28/1992,34 24 54.3,112 24 16.9,7980,"Top of Mt. Union, 10 mi. SSE of Prescott"
Mt. Union,1016,Dewpoint,9/19/2000,34 24 54.3,112 24 16.9,7980,"Top of Mt. Union, 10 mi. SSE of Prescott"
Sacaton Peak,1108,Rptr. Batt.,6/11/1996,33 00 10.6,111 40 27.0,2690,4.5 miles E. of the SR387 / I-10 junction
Humboldt Mountain,1200,Precip.,7/14/1981,33 58 50.7,111 47 52.5,5205,13 mi. NE of the Town of Cave Creek
Humboldt Mountain,1201,Temperature,6/13/1996,33 58 50.7,111 47 52.5,5205,13 mi. NE of the Town of Cave Creek
Humboldt Mountain,1202,Humidity,6/12/1996,33 58 50.7,111 47 52.5,5205,13 mi. NE of the Town of Cave Creek
Humboldt Mountain,1216,Dewpoint,1/1/2003,33 58 50.7,111 47 52.5,5205,13 mi. NE of the Town of Cave Creek
Mt. Oatman,1300,Precip.,4/1/1981,33 03 04.6,113 08 12.2,1740,8 mi. WSW of Painted Rock Dam
Burnt Mountain,1408,Rptr. Batt.,8/25/1993,33 31 53.3,113 06 32.0,1610,9 mi. WNW of Tonopah on Burnt Mtn. in Harquahala Valley
Harquahala Mountain,1500,Precip.,2/10/1994,33 48 43.7,113 20 48.0,5680,"Top of Harquahala Mtn., 36 mi. WSW of Wickenberg"
Yarnell Hill,1600,Precip.,7/13/1981,34 12 21.4,112 44 56.0,5080,"2 mi. S of Yarnell, Yavapai County"
Towers Mountain,1700,Precip.,5/1/1992,34 14 02.6,112 22 04.3,7630,"3 mi. NW of Crown King, Yavapai County"
White Tank Peak,1800,Precip.,4/1/1981,33 34 02.0,112 33 29.1,4010,"Top of White Tank Mtns., 13 mi. N of Buckeye"
Thompson Peak,1900,Precip.,7/27/1989,33 38 39.9,111 48 43.7,3995,"On Thompson Peak, 120th St. and Bell Rd. alignments"
Thompson Peak,1901,Temperature,12/19/1995,33 38 39.9,111 48 43.7,3995,"On Thompson Peak, 120th St. and Bell Rd. alignments"
Thompson Peak,1902,Humidity,12/22/1995,33 38 39.9,111 48 43.7,3995,"On Thompson Peak, 120th St. and Bell Rd. alignments"
Thompson Peak,1916,Dewpoint,1/1/2003,33 38 39.9,111 48 43.7,3995,"On Thompson Peak, 120th St. and Bell Rd. alignments"
Mt. Ord,2000,Precip.,10/28/1982,33 54 18.3,111 24 30.7,7140,"Top of Mt. Ord, 4 mi. E of Sunflower in the Mazatzal Mtns."
GateWay Community College,3000,Precip.,12/16/2003,33 27 03.7,111 59 44.0,1145,40th Street at Van Buren
GateWay Community College,3001,Temperature,9/9/2004,33 27 03.7,111 59 44.0,1145,40th Street at Van Buren
GateWay Community College,3002,Humidity,9/9/2004,33 27 03.7,111 59 44.0,1145,40th Street at Van Buren
GateWay Community College,3016,Dewpoint,9/9/2004,33 27 03.7,111 59 44.0,1145,40th Street at Van Buren
UPRR Underpass @ 1st Ave.,3107,Stream PT,5/30/2017,33 26 39.0,112 04 30.1,1080,1st Ave. south of Jackson St.
UPRR Underpass @ Central Ave.,3207,Stream PT,5/30/2017,33 26 38.4,112 04 26.0,1080,Central Ave. south of Jackson St.
Durango Complex,3300,Precip.,6/23/1980,33 25 37.0,112 07 11.3,1050,27th Ave. and Durango St.
Durango Complex,3301,Temperature,10/4/1991,33 25 37.0,112 07 11.3,1050,27th Ave. and Durango St.
Durango Complex,3302,Humidity,12/9/1991,33 25 37.0,112 07 11.3,1050,27th Ave. and Durango St.
Durango Complex,3303,Pressure,11/4/1991,33 25 37.0,112 07 11.3,1050,27th Ave. and Durango St.
Durango Complex,3304,Ave. Wind,11/16/1991,33 25 37.0,112 07 11.3,1050,27th Ave. and Durango St.
Durango Complex,3305,Wind Dir.,5/1/2001,33 25 37.0,112 07 11.3,1050,27th Ave. and Durango St.
Durango Complex,3306,Peak Wind,6/24/1993,33 25 37.0,112 07 11.3,1050,27th Ave. and Durango St.
Durango Complex,3311,Solar Rad.,11/29/1994,33 25 37.0,112 07 11.3,1050,27th Ave. and Durango St.
Durango Complex,3316,Dewpoint,7/5/1994,33 25 37.0,112 07 11.3,1050,27th Ave. and Durango St.
Jackson St. @ 7th Ave.,3500,Precip.,1/29/1991,33 26 40.9,112 04 56.3,1090,"County Building, 7th Ave. and Jackson St."
Grand Ave. @ 27th Ave.,3800,Precip.,10/11/1996,33 28 52.8,112 06 54.5,1100,0.1 mile NE of 27th Ave. & Thomas Rd.
Grand Ave. @ 27th Ave.,3807,Stream PT,10/6/2015,33 28 52.8,112 06 54.5,1100,0.1 mile NE of 27th Ave. & Thomas Rd.
Thomas Rd. @ 16th St.,4000,Precip.,1/17/1991,33 28 39.7,112 02 29.4,1125,16 th St. at Thomas Rd.
Perry Park,4200,Precip.,8/22/1990,33 28 42.0,112 00 52.0,1155,1/8 mi. S of Thomas Rd. and 32nd St.
Phoenix Zoo Dam #3,4300,Precip.,4/25/2016,33 27 10.3,111 56 53.1,1245,1/2 mile NE of Galvin Pkwy & Van Buren St.
Phoenix Zoo Dam #3,4307,Stream PT,4/25/2016,33 27 10.3,111 56 53.1,1245,1/2 mile NE of Galvin Pkwy & Van Buren St.
Phoenix Zoo Dam #5,4407,Stream PT,4/28/2016,33 26 57.1,111 57 04.3,1215,0.3 mi. ESE of Galvin Pkwy & Van Buren St.
Papago Park,4500,Precip.,8/15/1990,33 27 35.1,111 58 05.8,1225,1/4 mi. S of McDowell Rd. and 52nd St.
Salt R. @ Priest Dr.,4523,Non Subm PT,12/7/1993,33 26 02.4,111 57 40.7,1140,West side of Salt River bridge at Priest Dr.
Salt R. @ Val Vista Dr.,4548,Stream PT,4/13/2011,33 29 03.3,111 45 44.1,1260,1/2 mile W of Val Vista and the Salt River
Spookhill FRS,4563,Stream PT,3/13/1984,33 28 23.0,111 40 52.7,1580,1/2 mi. N. of McDowell Rd. and Bush Highway
Granite Reef Diversion,4568,Stream PT,7/21/2005,33 30 43.1,111 41 01.9,1330,Bush Highway at Granite Reef Dam
Price Drain @ Loop 202,4573,Stream PT,2/13/2001,33 26 03.8,111 53 25.0,1175,Loop 202 at Loop 101
Laveen Basin,4578,Stream PT,11/7/2006,33 23 25.2,112 09 02.6,1015,Southern Ave. at 43rd Ave.
Salt R. blw. Granite Reef,4583,Stream PT,4/2/2012,33 30 53.7,111 41 56.6,1295,1/2 mi. W of Granite Reef Diversion Dam
Reata Pass Wash,4588,Stream PT,5/15/2001,33 41 52.9,111 51 50.6,2175,1.6 miles east of Pima Rd. on Pinnacle Peak Road
IBW @ McKellips Rd.,4603,Bubbler,11/10/1987,33 26 57.2,111 54 53.3,1190,On Indian Bend Wash 1/4 mi. South of McKellips
IBW @ Indian Bend Rd.,4613,Non Subm PT,10/15/1992,33 32 07.0,111 54 45.0,1285,On Indian Bend Wash just S. of Indian Bend Rd.
IBW @ Indian School Rd.,4618,Stream PT,11/26/1997,33 29 42.2,111 54 40.5,1240,Indian School Rd. at Hayden Road
IBW Interceptor Channel,4623,Stream PT,4/21/1994,33 31 59.4,111 53 52.4,1280,1/4 mi. SW of Pima Rd. & Indian Bend Rd.
IBW @ McDonald Dr.,4628,Stream PT,11/25/1997,33 31 26.7,111 54 35.8,1275,McDonald Drive at Hayden Road
Tatum Basin Inflow,4638,Stream PT,6/3/1994,33 34 54.1,111 59 04.4,1405,Near Shea Blvd and 40th St.
IBW @ Sweetwater Ave.,4643,Stream PT,12/27/1990,33 36 13.3,112 00 16.0,1395,1/2 mi. E of 32nd St. and Sweetwater Ave.
East Fork Cave Cr. Basin #1,4648,Stream PT,3/2/1994,33 40 11.3,112 01 31.3,1495,1/4 mi. E of Beardsley Rd. and Cave Creek Rd.
Tatum Basin Outflow,4653,Stream PT,5/8/1998,33 34 56.8,111 59 01.5,1385,Near Shea Blvd and 44th St.
East Fork Cave Cr. Basin #4,4658,Stream PT,1/18/1994,33 38 56.5,112 00 37.5,1465,1/4 mi. S of Union Hills Dr. and 32nd St.
East Fork Cave Cr. near 7th Ave.,4668,Stream PT,5/21/1997,33 37 40.6,112 04 50.7,1340,"Near 7th Ave., 1/2 mile south of Greenway Rd."
Lake Margherite,4678,Stream PT,11/25/1997,33 33 49.2,111 53 59.0,1325,1/2 mi. SE of Scottsdale Rd. and Shea Blvd.
East Fork Cave Cr. Basin #3,4683,Stream PT,9/13/1994,33 38 45.9,112 02 21.1,1430,1/2 mi. SW of Union Hills Dr. and Cave Creek Rd.
Berneil Wash,4688,Stream PT,7/30/1998,33 33 58.5,111 56 19.6,1325,East of Doubletree and Invergordon
IBW @ Shea Blvd.,4693,Stream PT,6/9/1998,33 34 53.2,111 58 06.3,1360,Shea Blvd. At 52nd Street
Old Crosscut Canal @ McDowell Rd.,4700,Precip.,7/27/1994,33 27 41.4,111 58 56.1,1175,McDowell Rd. at Hohokam Expressway
Granite Reef Wash,4728,Stream PT,6/26/2007,33 27 57.6,111 53 54.9,1195,McDowell Rd. 200 yards east of Granite Reef
Old Crosscut Canal @ McDowell Rd.,4748,Stream PT,7/27/1994,33 27 41.4,111 58 56.1,1175,McDowell Rd. at Hohokam Expressway
Salt R. @ 51st Ave.,4753,Non Subm PT,4/27/2011,33 24 15.7,112 10 07.4,1010,Salt River at 51st Ave.
Salt R. @ 67th Ave. Flow,4757,Status,7/14/2008,33 23 51.8,112 12 12.6,975,Salt River at 67th Avenue
Salt R. @ 67th Ave. Flow,4758,Stream PT,7/14/2008,33 23 51.8,112 12 12.6,975,Salt River at 67th Avenue
Salt R. @ 7th Ave.,4763,Stream PT,1/25/2012,33 25 03.1,112 04 57.4,1065,SW corner of 7th Ave. at the Salt River
City of Glendale,4769,Pressure,11/22/2010,33 32 37.0,112 11 36.8,1150,Grand Avenue at 63rd Avenue
Phoenix Dam 2A,4789,Stream PT,6/29/2009,33 36 13.2,112 03 52.8,1420,Near Thunderbird and 7th St.
Dreamy Draw Dam,4803,Stream PT,11/16/1987,33 33 43.8,112 01 53.7,1405,1/4 mi. SSW of the 24th St. and Dunlap Ave. alignments
ACDC @ 36th St.,4808,Stream PT,2/24/1994,33 30 49.3,111 59 58.7,1250,1/2 mi. North of 36th St. and Camelback Rd.
ACDC @ 14th St.,4813,Stream PT,2/9/1994,33 32 37.3,112 03 05.1,1230,1/2 mi. North of Glendale Ave. and 14th St.
10th St. Wash Basin #1,4818,Stream PT,11/26/1996,33 34 46.8,112 03 17.3,1320,1/4 mi. SW of Peoria Ave. and Cave Creek Rd.
ACDC @ 43rd Ave.,4823,Stream PT,3/27/1991,33 35 02.4,112 09 15.2,1225,1/4 mi. NW of Peoria Ave. and 43rd Ave.
Phoenix Basin #3,4828,Stream PT,12/18/2001,33 35 11.7,112 02 48.5,1365,Cave Creek Road at 16th St.
Cave Creek @ Cactus Rd.,4833,Stream PT,8/13/1991,33 35 58.9,112 06 43.2,1280,1/4 mi. ENE of I-17 and Cactus Rd.
Phoenix Dam #4,4838,Stream PT,7/6/2009,33 33 30.9,112 02 33.8,1310,1/4 mi. NW of Northern Ave. & SR 51
Phoenix Dam #99,4843,Stream PT,7/7/2009,33 34 29.1,112 00 51.4,1455,32nd St. and SR 51
Phoenix East Park Dam,4848,Stream PT,11/28/2001,33 34 45.2,112 04 36.3,1345,1/4 mile SE of 7th Ave. and Peoria
Phoenix Basin #7,4853,Stream PT,12/3/2001,33 36 04.4,112 04 21.5,1400,1/8 mile SW of Thunderbird and 7th Street
Phoenix West Park Dam,4858,Stream PT,11/29/2001,33 35 02.8,112 04 55.0,1315,Peoria Ave. at 7th Ave.
Rawhide Wash,4863,Stream PT,7/26/1999,33 44 28.1,111 53 53.3,2225,1/3 mile west of Pima Rd. on Dynamite Blvd.
Skunk Tank Wash,4888,Stream PT,3/2/2006,33 50 23.8,112 04 57.8,1865,0.2 miles S of 7th Ave. and Desert Hills Rd.
Cave Creek,4893,Non Subm PT,5/29/2003,33 49 48.9,111 58 04.0,1995,1 mile west of Cave Creek Town Hall
Desert Hills Wash,4898,Stream PT,3/2/2006,33 49 41.6,112 02 54.0,1860,Joy Ranch Road at 16th Street
Cave Buttes Dam,4903,Non Subm PT,4/27/1992,33 43 01.3,112 02 40.2,1680,1/4 mi. North of the Happy Valley Rd. & 16th St. alignments
Cave Buttes Dam,4904,Non Subm PT,10/15/1988,33 43 01.3,112 02 40.2,1680,1/4 mi. North of the Happy Valley Rd. & 16th St. alignments
Cave Creek @ CAP,4907,Stream PT,4/14/2014,33 41 38.0,112 03 04.0,1505,1/2 mile NNW of Deer Valley Rd. and 16th St.
Stagecoach Wash,4913,Stream PT,6/13/2001,33 48 42.8,111 53 28.0,2555,On Pima Road about 1/2 mile south of Cave Creek Road
Cave Cr. near Cave Creek,4918,Stream PT,5/27/1994,33 47 09.0,112 00 26.1,1815,3/4 mi. SW of Carefree Hwy. and 40th St. alignment
Cave Cr. @ Spur Cross Rd.,4923,Non Subm PT,6/16/1993,33 53 16.6,111 57 12.8,2280,3.5 mi. North of the Town of Cave Creek
Reata Pass Dam,4938,Stream PT,8/26/1993,33 44 04.1,111 50 37.0,2600,1/2 mi. South of Dynamite Blvd. and 112th St.
Cave Creek Ashdale,4947,Stream PT,2/25/2009,33 57 44.2,111 52 33.8,3280,10.5 miles NE of Cave Creek
Seven Springs Wash,4963,Stream PT,3/12/2002,33 57 37.3,111 50 37.0,3530,11 miles NE of Cave Creek
Thomas Rd. @ 48th St.,5000,Precip.,1/30/1991,33 28 46.5,111 58 44.1,1205,Thomas Rd. and 48th St.
Columbus Wash,5013,Stream PT,9/21/1999,33 06 45.7,113 20 22.1,720,8 mi. N of Agua Caliente
Copper Wash,5033,Stream PT,2/20/2001,33 12 20.0,113 17 05.4,1080,15 miles north of Agua Caliente
4th of July Wash,5043,Stream PT,3/14/2002,33 16 39.5,113 07 47.1,1120,21 mi. W of Old US80 on Agua Caliente Road
Centennial Trib. @ Dobbins Rd.,5049,Stream PT,10/1/2012,33 21 49.1,112 59 35.6,1020,7.5 miles WSW of Palo Verde Nuclear Plant
Cruff Wash,5078,Stream PT,5/14/2002,33 15 04.0,112 52 54.4,940,6 mi. west of Agua Caliente Road and Old US 80
Centennial Wash @ Wenden,5093,Stream PT,9/2/1998,33 49 27.2,113 32 01.3,1880,5.5 mi. NE of Salome on US 60 Bridge
Centennial Railroad,5103,Stream PT,2/9/1990,33 18 35.6,112 52 58.4,850,8 mi. NW of Gillespie Dam
Delaney Wash,5107,Status,12/20/1999,33 28 08.3,112 58 10.4,1130,3 miles SSW of Tonopah
Delaney Wash,5108,Stream PT,12/22/1999,33 28 08.3,112 58 10.4,1130,3 miles SSW of Tonopah
Saddleback FRS,5113,Stream PT,12/16/1988,33 27 59.8,113 04 21.3,1180,7 mi. WSW of Tonopah in Harquahala Valley
Winters Wash,5118,Stream PT,7/11/2000,33 30 31.5,112 54 44.0,1125,1 mi. N of Indian School Rd. and 403rd Ave.
Centennial Levee,5123,Stream PT,7/9/2003,33 31 09.9,113 15 37.8,1260,2 mi S. of I-10 and 4 mi. E. of W. County border
Harquahala FRS,5128,Stream PT,3/1/1994,33 32 55.3,113 05 51.8,1420,10 mi. WNW of Tonopah in Harquahala Valley
Tiger Wash,5163,Stream PT,9/15/1999,33 44 30.3,113 16 42.8,1875,10 mi. N of the Eagle Eye Rd / Salome Hwy intersection
Centennial Wash near Aguila,5178,Stream PT,6/5/2001,33 58 00.3,113 04 07.9,2275,5 mi. NNE of the US 60 / SR 71 junction
Buckeye FRS #1,5203,Stream PT,12/21/1987,33 27 21.8,112 44 53.6,1075,"West end of Buckeye FRS #1, I-10 @ Hassayampa River"
Buckeye FRS #2,5208,Stream PT,11/11/1992,33 26 22.3,112 35 47.4,1115,5 mi. N of Buckeye nr the alignments of Yuma and Miller Roads
Jackrabbit Wash,5218,Stream PT,10/31/2000,33 42 55.6,112 52 54.4,1725,Aguila Road at Wickenburg Road
Hassayampa R. near Morristown,5223,Stream PT,5/7/1996,33 53 05.3,112 39 42.3,1830,3 mi. NW of Morristown and 7 miles SE of Wickenburg
Hassayampa R. @ US 60,5228,Stream PT,3/14/1994,33 58 13.2,112 43 37.3,2045,Hassayampa River at US 60/93 in Wickenburg
Sunset FRS,5233,Stream PT,5/11/1989,33 57 53.7,112 44 32.6,2140,3/4 mi. WSW of the US 60 / US 93 intersection in Wickenburg
Sunnycove FRS,5248,Non Subm PT,2/17/1988,33 57 26.1,112 44 23.2,2150,1 mi. SW of the US 60 / US 93 intersection in Wickenburg
Vulture Mine Rd.,5263,Stream PT,10/26/2005,33 57 08.4,112 46 18.4,2315,3 mi. SW of Wickenburg
Box Wash,5273,Stream PT,3/11/2003,33 50 57.4,112 47 56.8,2260,9 miles southwest of Wickenburg
Sols Wash @ SR 71,5276,Stream PT,9/13/2001,34 07 06.7,112 57 45.8,2740,1/2 mile SW of the SR 71 / US 93 intersection
Hassayampa R. @ I-10,5283,Stream PT,11/9/1994,33 27 28.2,112 45 41.0,1015,"I-10 bridge over Hassayampa River, 12 mi WNW of Buckeye"
Sun Valley Pkwy. @ Northern Ave.,5303,Stream PT,8/2/2005,33 33 12.4,112 40 40.9,1400,Sun Valley Pkwy. at Northern Ave.
Hassayampa R. @ Box Canyon,5308,Stream PT,10/16/1991,34 02 42.3,112 42 36.5,2245,"6 mi. N of Wickenburg on Hassayampa River, Yavapai County"
Hassayampa R. @ Wagoner Rd.,5352,Stream PT,5/16/2001,34 18 36.6,112 34 07.6,3760,6 mi. ESE of Kirkland Junction
Agua Fria R. @ Buckeye Rd. PT,5403,Stream PT,10/6/1988,33 26 06.3,112 19 55.8,965,"Buckeye Rd. Bridge over Agua Fria River, nr Avondale"
Colter Channel @ El Mirage Rd.,5408,Stream PT,6/29/1994,33 30 41.1,112 19 25.6,1030,1/4 mi. N of Camelback and El Mirage Rd.
Dysart Drain @ Luke AFB,5413,Stream PT,8/22/1996,33 32 38.3,112 20 57.8,1075,1/4 mi. West of Northern Ave. & Litchfield Rd.
White Tank FRS #3,5418,Stream PT,1/1/1988,33 31 56.0,112 28 19.2,1215,4 mi. N of I-10 on Jackrabbit Trail alignment
Dysart Drain @ El Mirage Rd.,5423,Stream PT,3/7/1997,33 32 37.1,112 19 26.6,1065,El Mirage Rd. between Glendale & Northern
Ford Canyon Wash,5428,Stream PT,2/5/2002,33 35 47.3,112 29 57.3,1470,Alignments of Cactus Road and Tuthill Road
McMicken Floodway,5435,Precip.,5/19/1992,33 41 07.2,112 24 31.1,1335,1/2 mi. N of Grand Ave. and Deer Valley Rd.
McMicken Floodway,5438,Stream PT,9/20/1992,33 41 07.2,112 24 31.1,1335,1/2 mi. N of Grand Ave. and Deer Valley Rd.
McMicken Dam @ Bell Rd.,5443,Stream PT,3/4/2009,33 38 17.6,112 27 41.1,1350,Bell Road at Perryville Rd. alignment
McMicken Dam,5448,Stream PT,2/18/1988,33 40 37.2,112 25 24.3,1350,1/4 mi SE of Deer Valley Rd and Cotton Lane
Patton Rd. @ 259th Ave.,5457,Status,7/16/2013,33 44 19.6,112 37 02.6,1670,Patton Rd. between 257th & 259th Avenues
El Mirage Drain,5483,Stream PT,2/16/2006,33 41 26.6,112 19 40.9,1265,1/2 mile S of Pinnacle Peak and El Mirage Roads
Upper Trilby Wash,5488,Stream PT,9/25/2001,33 57 39.0,112 31 42.7,3045,"On Trilby Wash, 2.2 miles N of Castle Hot Springs Road"
Daggs Wash,5498,Stream PT,11/8/2007,33 44 45.2,112 43 30.2,1680,9.5 miles SW of Circle City
Salt R. @ 67th Ave.,5500,Precip.,4/23/1998,33 24 00.6,112 12 15.1,995,67th Avenue and Roeser St. N of Salt River
Agua Fria R. Grand Ave.,5503,Non Subm PT,4/27/1994,33 36 26.6,112 18 20.6,1115,Grand Ave. bridge at Agua Fria River
New River @ Glendale Ave.,5508,Stream PT,3/21/1990,33 32 11.8,112 16 53.3,1060,1/2 mi. E of 99th Ave. on Glendale Ave. bridge
ACDC @ 67th Ave.,5523,Stream PT,6/7/1990,33 37 17.8,112 12 09.7,1220,"67th Ave. Bridge at Arizona Canal, Glendale"
Adobe Dam,5538,Non Subm PT,8/3/1990,33 40 38.0,112 09 14.3,1405,1/4 mi. South of Deer Valley Rd. & 43rd Ave.
Adobe Dam,5539,Bubbler,8/30/1988,33 40 38.0,112 09 14.3,1405,1/4 mi. South of Deer Valley Rd. & 43rd Ave.
Scatter Wash,5543,Stream PT,9/18/1996,33 40 08.2,112 08 29.8,1340,1/2 mile west of 35th Ave. and Beardsley Rd.
Skunk Cr. @ I-17,5568,Non Subm PT,4/19/1990,33 43 48.3,112 07 11.1,1475,I-17 at Jomax Rd. alignment
Cline Creek,5583,Stream PT,11/20/2001,33 54 03.5,112 03 17.9,2170,1 mi. N of Circle Mtn. Rd / 12th St.
Skunk Cr. near New River,5588,Stream PT,6/21/1995,33 55 34.3,112 04 57.7,2190,Skunk Cr. at Fig Springs Rd.
New River @ Bell Rd.,5598,Stream PT,4/4/1990,33 38 16.6,112 14 22.5,1205,Bell Rd. at 83rd Ave.
New River Dam,5613,Stream PT,8/30/1988,33 44 09.1,112 13 31.8,1485,1/2 mi. NE of Jomax Rd. and 83rd Ave.
New River Dam,5614,Non Subm PT,11/20/1987,33 44 09.1,112 13 31.8,1485,1/2 mi. NE of Jomax Rd. and 83rd Ave.
